2004/06/21 02:23:09 Transaction RollBack
2004/06/21 02:23:09 Start Transaction
2004/06/21 02:23:19 Transaction RollBack
2004/06/21 02:23:19 Start Transaction
2004/06/21 02:23:29 Transaction RollBack
2004/06/21 02:23:29 Start Transaction
2004/06/21 02:23:40 Transaction RollBack
2004/06/21 02:23:40 Start Transaction
2004/06/21 02:23:50 Transaction RollBack
2004/06/21 02:23:50 Start Transaction
2004/06/21 02:24:00 Transaction RollBack
2004/06/21 02:24:00 Start Transaction
2004/06/21 02:24:11 Transaction RollBack
2004/06/21 02:24:11 Start Transaction
2004/06/21 02:24:21 Transaction RollBack
2004/06/21 02:24:21 Start Transaction
2004/06/21 02:24:31 Transaction RollBack
2004/06/21 02:24:31 Start Transaction
2004/06/21 02:24:42 Transaction RollBack
2004/06/21 02:24:42 Start Transaction
2004/06/21 02:24:52 Transaction RollBack
2004/06/21 02:24:52 Start Transaction
2004/06/21 02:25:02 Transaction RollBack
2004/06/21 02:25:02 Start Transaction
2004/06/21 02:25:13 Transaction RollBack
2004/06/21 02:25:13 Start Transaction
2004/06/21 02:25:23 Transaction RollBack
2004/06/21 02:25:23 Start Transaction
2004/06/21 02:25:33 Transaction RollBack
2004/06/21 02:25:33 Start Transaction
2004/06/21 02:25:44 Transaction RollBack
2004/06/21 02:25:44 Start Transaction
2004/06/21 02:25:54 Transaction RollBack
2004/06/21 02:25:54 Start Transaction
2004/06/21 02:26:04 Transaction RollBack
2004/06/21 02:26:04 Start Transaction
2004/06/21 02:26:15 Transaction RollBack
2004/06/21 02:26:15 Start Transaction
2004/06/21 02:26:25 Transaction RollBack
2004/06/21 02:26:25 Start Transaction
2004/06/21 02:26:35 Transaction RollBack
2004/06/21 02:26:35 Start Transaction
2004/06/21 02:26:46 Transaction RollBack
2004/06/21 02:26:46 Start Transaction
2004/06/21 02:26:56 Transaction RollBack
2004/06/21 02:26:56 Start Transaction
2004/06/21 02:27:06 Transaction RollBack
2004/06/21 02:27:07 Start Transaction
2004/06/21 02:27:17 Transaction RollBack
2004/06/21 02:27:17 Start Transaction
2004/06/21 02:27:27 Transaction RollBack
2004/06/21 02:27:27 Start Transaction
2004/06/21 02:27:37 Transaction RollBack
2004/06/21 02:27:38 Start Transaction
2004/06/21 02:27:48 Transaction RollBack
2004/06/21 02:27:48 Start Transaction
2004/06/21 02:27:58 Transaction RollBack
2004/06/21 02:27:58 Start Transaction
2004/06/21 02:28:08 Transaction RollBack
2004/06/21 02:28:09 Start Transaction
2004/06/21 02:28:19 Transaction RollBack
2004/06/21 02:28:19 Start Transaction
2004/06/21 02:28:29 Transaction RollBack
2004/06/21 02:28:29 Start Transaction
2004/06/21 02:28:39 Transaction RollBack
2004/06/21 02:28:40 Start Transaction
2004/06/21 02:28:50 Transaction RollBack
2004/06/21 02:28:50 Start Transaction
2004/06/21 02:29:00 Transaction RollBack
2004/06/21 02:29:00 Start Transaction
2004/06/21 02:29:10 Transaction RollBack
2004/06/21 02:29:11 Start Transaction
2004/06/21 02:29:21 Transaction RollBack
2004/06/21 02:29:21 Start Transaction
2004/06/21 02:29:31 Transaction RollBack
2004/06/21 02:29:31 Start Transaction
2004/06/21 02:29:41 Transaction RollBack
2004/06/21 02:29:42 Start Transaction
2004/06/21 02:29:52 Transaction RollBack
2004/06/21 02:29:52 Start Transaction
2004/06/21 02:30:02 Transaction RollBack
2004/06/21 02:30:02 Start Transaction
2004/06/21 02:30:12 Transaction RollBack
2004/06/21 02:30:13 Start Transaction
2004/06/21 02:30:23 Transaction RollBack
2004/06/21 02:30:23 Start Transaction
2004/06/21 02:30:33 Transaction RollBack
2004/06/21 02:30:33 Start Transaction
2004/06/21 02:30:43 Transaction RollBack
2004/06/21 02:30:44 Start Transaction
2004/06/21 02:30:54 Transaction RollBack
2004/06/21 02:30:54 Start Transaction
2004/06/21 02:31:04 Transaction RollBack
2004/06/21 02:31:04 Start Transaction
2004/06/21 02:31:15 Transaction RollBack
2004/06/21 02:31:15 Start Transaction
2004/06/21 02:31:25 Transaction RollBack
2004/06/21 02:31:25 Start Transaction
2004/06/21 02:31:35 Transaction RollBack
2004/06/21 02:31:35 Start Transaction
2004/06/21 02:31:46 Transaction RollBack
2004/06/21 02:31:46 Start Transaction
2004/06/21 02:31:56 Transaction RollBack
2004/06/21 02:31:56 Start Transaction
2004/06/21 02:32:06 Transaction RollBack
2004/06/21 02:32:06 Start Transaction
2004/06/21 02:32:17 Transaction RollBack
2004/06/21 02:32:17 Start Transaction
