2004/06/18 10:16:53 Start Transaction
2004/06/18 10:17:03 Transaction RollBack
2004/06/18 10:17:03 Start Transaction
2004/06/18 10:17:13 Transaction RollBack
2004/06/18 10:17:13 Start Transaction
2004/06/18 10:17:24 Transaction RollBack
2004/06/18 10:17:24 Start Transaction
2004/06/18 10:17:34 Transaction RollBack
2004/06/18 10:17:34 Start Transaction
2004/06/18 10:17:44 Transaction RollBack
2004/06/18 10:17:44 Start Transaction
2004/06/18 10:17:55 Transaction RollBack
2004/06/18 10:17:55 Start Transaction
2004/06/18 10:18:05 Transaction RollBack
2004/06/18 10:18:05 Start Transaction
2004/06/18 10:18:15 Transaction RollBack
2004/06/18 10:18:15 Start Transaction
2004/06/18 10:18:26 Transaction RollBack
2004/06/18 10:18:26 Start Transaction
2004/06/18 10:18:36 Transaction RollBack
2004/06/18 10:18:36 Start Transaction
2004/06/18 10:18:46 Transaction RollBack
2004/06/18 10:18:46 Start Transaction
2004/06/18 10:18:57 Transaction RollBack
2004/06/18 10:18:57 Start Transaction
2004/06/18 10:19:07 Transaction RollBack
2004/06/18 10:19:07 Start Transaction
2004/06/18 10:19:17 Transaction RollBack
2004/06/18 10:19:17 Start Transaction
2004/06/18 10:19:28 Transaction RollBack
2004/06/18 10:19:28 Start Transaction
2004/06/18 10:19:38 Transaction RollBack
2004/06/18 10:19:38 Start Transaction
2004/06/18 10:19:48 Transaction RollBack
2004/06/18 10:19:48 Start Transaction
2004/06/18 10:19:59 Transaction RollBack
2004/06/18 10:19:59 Start Transaction
2004/06/18 10:20:09 Transaction RollBack
2004/06/18 10:20:09 Start Transaction
2004/06/18 10:20:19 Transaction RollBack
2004/06/18 10:20:20 Start Transaction
2004/06/18 10:20:30 Transaction RollBack
2004/06/18 10:20:30 Start Transaction
2004/06/18 10:20:40 Transaction RollBack
2004/06/18 10:20:40 Start Transaction
2004/06/18 10:20:50 Transaction RollBack
2004/06/18 10:20:51 Start Transaction
2004/06/18 10:21:01 Transaction RollBack
2004/06/18 10:21:01 Start Transaction
2004/06/18 10:21:11 Transaction RollBack
2004/06/18 10:21:11 Start Transaction
2004/06/18 10:21:22 Transaction RollBack
2004/06/18 10:21:22 Start Transaction
2004/06/18 10:21:32 Transaction RollBack
2004/06/18 10:21:32 Start Transaction
2004/06/18 10:21:42 Transaction RollBack
2004/06/18 10:21:42 Start Transaction
2004/06/18 10:21:53 Transaction RollBack
2004/06/18 10:21:53 Start Transaction
2004/06/18 10:22:03 Transaction RollBack
2004/06/18 10:22:03 Start Transaction
2004/06/18 10:22:13 Transaction RollBack
2004/06/18 10:22:13 Start Transaction
2004/06/18 10:22:24 Transaction RollBack
2004/06/18 10:22:24 Start Transaction
2004/06/18 10:22:34 Transaction RollBack
2004/06/18 10:22:34 Start Transaction
2004/06/18 10:22:44 Transaction RollBack
2004/06/18 10:22:44 Start Transaction
2004/06/18 10:22:55 Transaction RollBack
2004/06/18 10:22:55 Start Transaction
2004/06/18 10:23:05 Transaction RollBack
2004/06/18 10:23:05 Start Transaction
2004/06/18 10:23:15 Transaction RollBack
2004/06/18 10:23:15 Start Transaction
2004/06/18 10:23:26 Transaction RollBack
2004/06/18 10:23:26 Start Transaction
2004/06/18 10:23:36 Transaction RollBack
2004/06/18 10:23:36 Start Transaction
2004/06/18 10:23:46 Transaction RollBack
2004/06/18 10:23:46 Start Transaction
2004/06/18 10:23:57 Transaction RollBack
2004/06/18 10:23:57 Start Transaction
2004/06/18 10:24:07 Transaction RollBack
2004/06/18 10:24:07 Start Transaction
2004/06/18 10:24:17 Transaction RollBack
2004/06/18 10:24:17 Start Transaction
2004/06/18 10:24:28 Transaction RollBack
2004/06/18 10:24:28 Start Transaction
2004/06/18 10:24:38 Transaction RollBack
2004/06/18 10:24:38 Start Transaction
2004/06/18 10:24:49 Transaction RollBack
2004/06/18 10:24:49 Start Transaction
2004/06/18 10:24:59 Transaction RollBack
2004/06/18 10:24:59 Start Transaction
2004/06/18 10:25:09 Transaction RollBack
2004/06/18 10:25:09 Start Transaction
2004/06/18 10:25:20 Transaction RollBack
2004/06/18 10:25:20 Start Transaction
2004/06/18 10:25:30 Transaction RollBack
2004/06/18 10:25:30 Start Transaction
2004/06/18 10:25:40 Transaction RollBack
2004/06/18 10:25:40 Start Transaction
2004/06/18 10:25:51 Transaction RollBack
2004/06/18 10:25:51 Start Transaction
2004/06/18 10:26:01 Transaction RollBack
2004/06/18 10:26:01 Start Transaction
2004/06/18 10:26:11 Transaction RollBack
2004/06/18 10:26:11 Start Transaction
2004/06/18 10:26:22 Transaction RollBack
2004/06/18 10:26:22 Start Transaction
2004/06/18 10:26:32 Transaction RollBack
2004/06/18 10:26:32 Start Transaction
2004/06/18 10:26:42 Transaction RollBack
2004/06/18 10:26:42 Start Transaction
2004/06/18 10:26:53 Transaction RollBack
2004/06/18 10:26:53 Start Transaction
2004/06/18 10:27:03 Transaction RollBack
2004/06/18 10:27:03 Start Transaction
2004/06/18 10:27:13 Transaction RollBack
2004/06/18 10:27:13 Start Transaction
2004/06/18 10:27:24 Transaction RollBack
2004/06/18 10:27:24 Start Transaction
2004/06/18 10:27:34 Transaction RollBack
2004/06/18 10:27:34 Start Transaction
2004/06/18 10:27:44 Transaction RollBack
2004/06/18 10:27:44 Start Transaction
2004/06/18 10:27:55 Transaction RollBack
2004/06/18 10:27:55 Start Transaction
2004/06/18 10:28:05 Transaction RollBack
2004/06/18 10:28:05 Start Transaction
